id;type;score;bedrooms;type_bedroom;beds;type_bed;baths;type_bath;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
38379381;Rental unit in Madrid ;;1;studio;1;bed;1;shared_bath;220967331;Miguel;Centro;Sol;4.041.734;-370.425;Private room;90;50;1;10/07/2019;0.02;5;89;0;
38471356;Rental unit in Madrid ;;1;studio;1;bed;1;bath;293206094;Lenin;Carabanchel;Vista Alegre;4.038.793;-374.252;Entire home/apt;60;8;0;;;1;0;0;
38684090;Rental unit in Madrid ;;1;studio;1;bed;1;bath;295453672;Xavier;Carabanchel;Vista Alegre;4.038.809;-374.276;Entire home/apt;67;10;0;;;1;0;0;
39027506;Rental unit in Madrid ;;1;studio;1;bed;1;shared_bath;87388621;Jeyson;Arganzuela;Palos de Moguer;404.008;-368.816;Private room;19;1;1;10/14/2019;0.02;1;0;0;
39466862;Rental unit in Madrid ;;1;studio;1;bed;1;shared_bath;70959731;Javier;Moncloa - Aravaca;ArgÃ¼elles;4.042.762;-371.444;Private room;55;20;0;;;1;0;0;
40154221;Rental unit in Madrid ;;1;studio;2;bed;1;bath;309969414;Regino;Carabanchel;Vista Alegre;4.039.116;-374.175;Entire home/apt;66;6;0;;;1;0;0;
40254034;Rental unit in Madrid ;;1;studio;0;bed;1;bath;310880137;Vanessa Isabel;Carabanchel;Vista Alegre;403.876;-374.534;Entire home/apt;66;7;0;;;1;0;0;
41364641;Rental unit in Madrid ;;1;studio;1;bed;1;bath;325212831;JosÃ©;Carabanchel;Vista Alegre;4.038.803;-374.088;Entire home/apt;70;8;0;;;1;0;0;
41084600;Loft in Madrid ;;1;studio;2;bed;1;bath;199943183;Enrique;TetuÃ¡n;Cuatro Caminos;4.045.074;-370.236;Entire home/apt;80;2;2;8/31/2023;0.13;24;31;1;
41406063;Rental unit in Madrid ;;1;studio;1;bed;1;shared_bath;130744957;Julito;Ciudad Lineal;Pueblo Nuevo;404.189;-362.919;Private room;24;10;1;5/31/2022;0.05;1;89;0;
41630214;Serviced apartment in Madrid ;;1;studio;0;bed;2;shared_bath;2987457;Maria;Moncloa - Aravaca;Valdezarza;4.045.836;-371.233;Private room;93;1;0;;;14;365;0;
41665580;Condo in Madrid ;;1;studio;0;bed;1;bath;250366118;Carlos;Villaverde;San AndrÃ©s;4.034.242;-371.185;Private room;50;1;0;;;1;0;0;
41701538;Hostel in Madrid ;;1;studio;1;bed;1;private_bath;328391407;Suites You;Centro;Palacio;4.041.689;-371.234;Private room;699;1;2;10/08/2020;0.05;4;104;0;
41701909;Hostel in Madrid ;;1;studio;1;bed;1;shared_bath;328391407;Suites You;Centro;Palacio;404.173;-371.229;Private room;699;1;2;2/23/2022;0.06;4;104;0;
42131780;Rental unit in Madrid ;;1;studio;16;bed;10;bath;99018982;Juan Y Bea;Centro;Palacio;4.041.002;-371.352;Entire home/apt;821;1;0;;;56;180;0;
41960138;Rental unit in Madrid ;;1;studio;1;bed;1;shared_bath;332064735;SofÃ­a;San Blas - Canillejas;Simancas;4.042.666;-362.949;Private room;105;1;0;;;1;0;0;
42655304;Rental unit in Madrid ;;1;studio;1;bed;1;bath;307123621;Sol Square;Centro;Palacio;4.042.025;-370.617;Entire home/apt;127;2;0;;;34;85;0;
42704529;Rental unit in Madrid ;;1;studio;1;bed;1;private_bath;53346029;Luis;ChamberÃ­;Rios Rosas;4.044.155;-369.643;Private room;105;1;0;;;1;90;0;
43594741;Rental unit in Madrid ;;1;studio;1;bed;1;shared_bath;2107146;MÃ³nica;Latina;Cuatro Vientos;4.037.334;-376.696;Private room;30;1;0;;;1;180;0;
44350764;Condo in Madrid ;;1;studio;1;bed;1;bath;265147782;Sleep;Retiro;Adelfas;4.040.105;-367.171;Entire home/apt;50;60;2;2/11/2023;0.05;31;39;1;
46121375;Guesthouse in Madrid ;;1;studio;1;bed;1.5;bath;228191862;Ronny;Latina;Puerta del Angel;4.041.049;-373.209;Private room;45;1;2;9/28/2021;0.07;2;0;0;
46511638;Home in Madrid ;;1;studio;1;bed;1;shared_bath;376191604;Roberta;Ciudad Lineal;Ventas;4.042.898;-365.005;Private room;3000;1;0;;;1;0;0;
48169437;Townhouse in Madrid ;;1;studio;1;bed;2;bath;190626372;Luis;San Blas - Canillejas;Rejas;4.044.098;-357.049;Entire home/apt;160;1;0;;;1;365;0;
49245685;Rental unit in Madrid ;;1;studio;2;bed;1;bath;100691931;Luis;Centro;Embajadores;4.040.957;-370.289;Entire home/apt;80;40;2;1/08/2023;0.07;2;292;1;
49108791;Loft in Madrid ;;1;studio;1;bed;1;bath;5012713;Janette;Centro;Embajadores;4.040.794;-3.708;Entire home/apt;85;10;0;;;12;365;0;
50138680;Home in Madrid ;;1;studio;1;bed;2.5;shared_bath;120289978;Kevin;Centro;Justicia;404.213;-369.762;Shared room;64;2;0;;;1;288;0;
50367189;Rental unit in Madrid ;;1;studio;1;bed;1;shared_bath;58714909;Frank;TetuÃ¡n;Bellas Vistas;4.044.818;-370.584;Private room;11;90;1;8/31/2021;0.04;1;89;0;
50164298;Serviced apartment in Madrid ;;1;studio;1;bed;1;bath;390770038;Rightplace;Centro;Cortes;4.041.533;-370.176;Entire home/apt;75;31;1;9/01/2021;0.04;15;29;0;
51162702;Rental unit in Madrid ;;1;studio;1;bed;1;bath;356881304;M.A Rooms Star;Centro;Universidad;4.042.222;-370.797;Entire home/apt;91;1;0;;;4;176;0;
51163065;Rental unit in Madrid ;;1;studio;1;bed;1;bath;356881304;M.A Rooms Star;Centro;Embajadores;4.040.913;-370.494;Entire home/apt;95;1;0;;;4;294;0;
51223314;Hotel in Madrid ;;1;studio;1;bed;1;shared_bath;414025803;Catalonia Puerta Del Sol;Centro;Embajadores;404.134;-370.202;Private room;146;1;1;10/08/2023;0.43;3;359;1;
51223368;Hotel in Madrid ;;1;studio;1;bed;1;shared_bath;414025803;Catalonia Puerta Del Sol;Centro;Embajadores;4.041.327;-370.348;Private room;171;1;0;;;3;354;0;
51223400;Hotel in Madrid ;;1;studio;4;bed;1;shared_bath;414025803;Catalonia Puerta Del Sol;Centro;Embajadores;4.041.289;-37.034;Private room;236;1;0;;;3;354;0;
50927512;Rental unit in Madrid ;;1;studio;1;bed;1;bath;409080777;Lisa;Moncloa - Aravaca;ArgÃ¼elles;4.043.014;-371.947;Entire home/apt;240;8;0;;;17;365;0;
51275982;Hotel in Madrid ;;1;studio;1;bed;1;private_bath;414026108;Catalonia Gran Via Madrid;Centro;Cortes;40.419.472;-3.699.086;Private room;369;1;1;5/04/2022;0.05;4;352;0;
51276039;Hotel in Madrid ;;1;studio;1;bed;1;private_bath;414026108;Catalonia Gran Via Madrid;Centro;Cortes;40.419.472;-3.699.086;Private room;439;1;0;;;4;259;0;
51589054;Rental unit in Madrid ;;1;studio;1;bed;1;bath;3275902;Esther;Moncloa - Aravaca;Casa de Campo;4.042.495;-37.258;Entire home/apt;45;90;0;;;1;10;0;
52297849;Rental unit in Madrid ;;1;studio;0;bed;1.5;bath;233404853;Federico;ChamberÃ­;Trafalgar;4.043.239;-370.356;Entire home/apt;50;7;1;10/13/2021;0.04;1;50;0;
52098924;Boutique hotel in Madrid ;;1;studio;1;bed;1;private_bath;222366700;Carlos;Centro;Embajadores;4.041.195;-369.858;Private room;137;1;2;5/14/2023;0.11;7;333;1;
52335283;Loft in Madrid ;;1;studio;0;bed;1;bath;5012713;Janette;Centro;Palacio;4.040.977;-371.013;Entire home/apt;100;5;1;10/01/2021;0.04;12;365;0;
53242389;Rental unit in Madrid ;;1;studio;1;bed;1;bath;431050404;Loic, Estelle And Co;ChamartÃ­n;Nueva EspaÃ±a;40.463.287;-3.681.413;Entire home/apt;187;1;1;7/18/2023;0.2;1;365;1;VT-9822
